5_1_F,5_1_D,7_1_F,7_1_D,8_1_F,8_1_D,10_1_F,10_1_D,9_1_F,9_1_D,9_2_F,9_2_D,24_1_F,24_1_D,1_1_F,1_1_D,1_2_F,1_2_D,2_1_F,2_1_D,20_1_F,20_1_D,19_1_F,19_1_D
1.493136,0.184875,2.151171,0.1855,1.768112,0.185375,1.860301,0.185125,1.968702,0.185125,2.049128,0.18575,1.895905,0.186,1.267751,0.1855,1.555125,0.18675,0.6488164,0.18675,0.8897781,0.1865,0.96035,0.186875
1.492818,0.189625,2.161662,0.18975,1.769384,0.18975,1.874288,0.18975,1.964251,0.18975,2.04277,0.190125,1.900673,0.1905,1.274745,0.19,1.559575,0.190625,0.6427765,0.1905,0.8926392,0.190625,0.9660721,0.190375
1.4925,0.193875,2.170563,0.193625,1.775742,0.193875,1.88446,0.194375,1.965205,0.194375,2.043724,0.194625,1.900355,0.1945,1.279513,0.194125,1.55735,0.194,0.6408691,0.19375,0.8958181,0.194375,0.9714763,0.194125
1.495679,0.19775,2.180099,0.198125,1.78496,0.198375,1.887639,0.19825,1.97506,0.198375,2.052307,0.198125,1.902262,0.198125,1.28301,0.198375,1.549403,0.198375,0.644048,0.198625,0.8993149,0.19875,0.9724299,0.199
1.503309,0.2015,2.190908,0.202125,1.793543,0.202125,1.887639,0.202,1.990954,0.202,2.065341,0.202625,1.904488,0.203125,1.288414,0.202125,1.540502,0.2035,0.647227,0.203625,0.9015401,0.203,0.9667079,0.2035
1.51062,0.206125,2.201716,0.2065,1.800537,0.2065,1.886368,0.206625,2.006213,0.206625,2.079646,0.206875,1.900355,0.207125,1.296679,0.206875,1.538277,0.206875,0.6478627,0.206875,0.9034474,0.207125,0.9613037,0.206625
1.518567,0.2105,2.210935,0.21025,1.806577,0.211,1.882553,0.21125,2.018611,0.21125,2.092044,0.21125,1.89209,0.21125,1.303037,0.210875,1.542091,0.2105,0.6469091,0.21025,0.9082158,0.210875,0.9606679,0.210875
1.530012,0.2145,2.217929,0.215,1.811663,0.215125,1.874288,0.214875,2.029101,0.21475,2.099991,0.21475,1.888275,0.21475,1.304309,0.215,1.546542,0.215375,0.6437302,0.21575,0.9158452,0.215625,0.9638469,0.216
1.541138,0.218,2.224604,0.218875,1.813571,0.219,1.865387,0.21875,2.037684,0.21875,2.104759,0.219375,1.891454,0.219875,1.303355,0.219,1.550357,0.220125,0.6351471,0.22025,0.9228389,0.21975,0.9705226,0.220125
1.547495,0.222875,2.233187,0.22325,1.812935,0.22325,1.860937,0.223375,2.044042,0.223375,2.108256,0.223625,1.893361,0.224125,1.301765,0.2235,1.556396,0.22325,0.6256104,0.223,0.9276072,0.223625,0.9822845,0.222875
1.551946,0.22725,2.242406,0.227,1.812617,0.227875,1.864751,0.228,2.050082,0.228125,2.112706,0.227875,1.891136,0.22775,1.297633,0.22775,1.568476,0.22725,0.6214778,0.227125,0.9317398,0.2275,0.9975433,0.227875
1.555443,0.231125,2.251943,0.2315,1.813253,0.23175,1.874288,0.23125,2.053897,0.231375,2.118428,0.231375,1.891454,0.23175,1.292547,0.23175,1.582781,0.232375,0.617981,0.232625,0.934283,0.232125,1.009941,0.233
1.552582,0.23475,2.262115,0.235625,1.817703,0.23575,1.88446,0.235375,2.052625,0.2355,2.124151,0.236,1.900355,0.236625,1.289368,0.235625,1.596133,0.23675,0.6141663,0.23675,0.9330114,0.23625,1.019796,0.23625
1.539548,0.2395,2.274195,0.23975,1.823107,0.24,1.893044,0.24,2.048492,0.240375,2.130508,0.240375,1.912117,0.24075,1.288732,0.240375,1.609167,0.239375,0.6176631,0.239375,0.9301503,0.240125,1.031558,0.23925
1.523336,0.244,2.28564,0.24375,1.824697,0.2445,1.902262,0.2445,2.045314,0.244875,2.137184,0.24425,1.918475,0.24425,1.28905,0.244375,1.620611,0.24425,0.6275177,0.24425,0.9276072,0.244125,1.042684,0.245
1.512845,0.247875,2.295812,0.248125,1.824061,0.24825,1.913706,0.247625,2.048492,0.247625,2.14386,0.248,1.921972,0.248375,1.290639,0.24825,1.625379,0.249375,0.6338755,0.24975,0.9234746,0.248875,1.049042,0.249625
1.511574,0.251375,2.305031,0.252375,1.825333,0.252625,1.924833,0.252,2.056122,0.252375,2.147675,0.252625,1.925786,0.25325,1.29509,0.2525,1.625697,0.253,0.6351471,0.253125,0.9183884,0.253,1.052221,0.2525
1.51666,0.256,2.31425,0.256375,1.829147,0.256375,1.93119,0.25675,2.06089,0.257125,2.14831,0.257,1.927376,0.257375,1.303355,0.25675,1.627922,0.25575,0.6386439,0.255875,0.9158452,0.256625,1.057625,0.255875
1.523972,0.260625,2.323786,0.2605,1.835187,0.261125,1.934369,0.260875,2.063751,0.26125,2.14831,0.26075,1.921972,0.260625,1.313845,0.261125,1.631737,0.26125,0.6402333,0.26175,0.9215673,0.261125,1.063665,0.262125
1.535416,0.264375,2.33078,0.26475,1.845678,0.264875,1.939456,0.264,2.071698,0.264125,2.152761,0.2645,1.909574,0.265125,1.324972,0.26475,1.632055,0.26625,0.6351471,0.26675,0.934283,0.265375,1.068433,0.266375
1.55131,0.26825,2.336502,0.269125,1.859665,0.269,1.945814,0.26875,2.083461,0.269,2.16039,0.26925,1.891772,0.26975,1.33419,0.269125,1.634598,0.269125,0.6306966,0.269375,0.9450912,0.269625,1.073519,0.268625
1.566887,0.272625,2.345085,0.272875,1.873016,0.273125,1.948992,0.273375,2.092997,0.274125,2.166748,0.273625,1.876195,0.27375,1.341184,0.273375,1.645088,0.272375,0.6329219,0.27225,0.9533564,0.27325,1.075427,0.273125
1.578649,0.2775,2.353986,0.277125,1.88001,0.2775,1.94486,0.277375,2.099355,0.277375,2.171516,0.277125,1.86952,0.277,1.345317,0.2775,1.653989,0.278375,0.6341934,0.279,0.9628932,0.277875,1.066844,0.279375
1.586596,0.281125,2.358754,0.28125,1.879692,0.281375,1.934052,0.2805,2.10762,0.2805,2.17851,0.281125,1.871427,0.281625,1.344363,0.281375,1.656214,0.282875,0.6278356,0.2835,0.9711583,0.282,1.055717,0.282625
1.592,0.284875,2.357165,0.28575,1.877149,0.285625,1.922925,0.285375,2.116203,0.285625,2.185504,0.28575,1.87842,0.28625,1.338005,0.285625,1.65844,0.28525,0.6224315,0.2855,0.9724299,0.286125,1.0554,0.284875
1.597087,0.289375,2.351761,0.289375,1.874606,0.289375,1.915932,0.290125,2.117157,0.290875,2.18455,0.290125,1.89209,0.29,1.329104,0.289875,1.666705,0.289125,0.6262462,0.289375,0.9717941,0.289875,1.058896,0.29075
1.603444,0.294125,2.345721,0.29375,1.867612,0.29425,1.917521,0.293875,2.112706,0.293625,2.176603,0.2935,1.912753,0.2935,1.321793,0.294125,1.671791,0.295375,0.6338755,0.29625,0.9717941,0.294625,1.056671,0.296375
1.613299,0.297875,2.340953,0.29775,1.857122,0.297625,1.929283,0.297,2.107302,0.296875,2.170245,0.29775,1.930237,0.29825,1.314799,0.297875,1.673063,0.29925,0.6399155,0.299875,0.9711583,0.29875,1.057625,0.298625
1.623789,0.30175,2.339045,0.30225,1.851082,0.30225,1.945496,0.302125,2.097766,0.302625,2.164523,0.302375,1.938184,0.30275,1.307487,0.302375,1.680692,0.3015,0.6484985,0.3015,0.9714763,0.302625,1.070023,0.3015
1.62824,0.306,2.340635,0.30575,1.852671,0.306125,1.960119,0.307,2.086322,0.307375,2.156575,0.30675,1.941999,0.3065,1.303037,0.306625,1.694044,0.30625,0.6599426,0.306875,0.974973,0.306625,1.08401,0.3085
1.625379,0.311,2.345721,0.310375,1.857758,0.310375,1.971881,0.31025,2.083778,0.31,2.152761,0.309875,1.946131,0.309875,1.306216,0.310625,1.701991,0.312125,0.6624858,0.313125,0.9806951,0.31125,1.092911,0.313
1.620611,0.314625,2.35494,0.314375,1.863798,0.31475,1.980782,0.313875,2.0895,0.313625,2.157847,0.314625,1.944542,0.315125,1.317024,0.3145,1.704534,0.315375,0.658989,0.316,0.9860992,0.31525,1.104037,0.314625
1.61775,0.3185,2.36702,0.31875,1.871427,0.3185,1.983325,0.318875,2.092361,0.319375,2.164523,0.31925,1.937866,0.31925,1.330694,0.31925,1.70962,0.31775,0.66185,0.317875,0.9930928,0.31925,1.119296,0.3185
1.614253,0.322875,2.381325,0.322375,1.881599,0.322875,1.980782,0.32375,2.093951,0.324125,2.170245,0.323375,1.935641,0.323,1.343727,0.32325,1.71121,0.323625,0.6663005,0.324375,1.001676,0.32325,1.1247,0.326125
1.610756,0.32775,2.397537,0.326875,1.894633,0.327,1.980782,0.326625,2.104441,0.32625,2.180735,0.3265,1.93882,0.3265,1.354853,0.3275,1.701991,0.328875,0.6612142,0.33,1.008669,0.328,1.119932,0.329125
1.613299,0.33125,2.41216,0.330875,1.907031,0.331125,1.984596,0.330625,2.124469,0.330625,2.195676,0.3315,1.940409,0.33175,1.363436,0.33125,1.692454,0.3315,0.6548564,0.33175,1.012484,0.33175,1.121521,0.330625
1.623472,0.335125,2.423604,0.335375,1.916567,0.335375,1.983325,0.33575,2.139727,0.3365,2.208074,0.33625,1.938184,0.336125,1.369158,0.336,1.69309,0.3345,0.6564458,0.334625,1.015027,0.336,1.127879,0.336125
1.635234,0.3395,2.433459,0.338875,1.924197,0.33925,1.976967,0.340375,2.147039,0.340625,2.217611,0.339875,1.940727,0.3395,1.373291,0.340125,1.695951,0.340875,0.6593068,0.34175,1.018842,0.339875,1.12311,0.343
1.645724,0.34425,2.44077,0.343625,1.929283,0.343875,1.976649,0.34325,2.154668,0.34275,2.22683,0.343125,1.950582,0.343625,1.379013,0.344,1.694679,0.3455,0.6583531,0.346375,1.022339,0.344625,1.11262,0.34475
1.657486,0.348125,2.444267,0.34775,1.932462,0.34775,1.983961,0.3475,2.161662,0.347625,2.232552,0.348375,1.962026,0.348375,1.38696,0.34825,1.69913,0.3475,0.6608963,0.34775,1.024564,0.348375,1.116117,0.347
1.670519,0.351625,2.443314,0.351875,1.935005,0.352,1.991272,0.35275,2.160072,0.353625,2.233823,0.353125,1.96902,0.353125,1.393636,0.352625,1.714388,0.351375,0.6672541,0.3515,1.026471,0.3525,1.128832,0.354125
1.676559,0.356125,2.439817,0.35575,1.934369,0.35625,1.999855,0.357125,2.153397,0.35725,2.236048,0.35625,1.974742,0.356,1.398404,0.356875,1.728058,0.358,0.6634395,0.359125,1.030922,0.35675,1.133919,0.35925
1.667023,0.360875,2.435048,0.360125,1.929601,0.36025,2.01416,0.359625,2.151489,0.358875,2.24336,0.359625,1.981735,0.360375,1.402855,0.360875,1.732826,0.361625,0.6484985,0.36225,1.038233,0.360875,1.137733,0.360375
1.65081,0.364875,2.43187,0.36475,1.923243,0.364875,2.030055,0.36425,2.151171,0.364875,2.24781,0.365125,1.985868,0.3655,1.407623,0.364875,1.740138,0.36375,0.638326,0.364,1.045545,0.365,1.151085,0.364
1.642227,0.368375,2.43187,0.3685,1.919428,0.36825,2.038956,0.369875,2.147992,0.37075,2.24781,0.369875,1.982371,0.369625,1.410484,0.369375,1.754761,0.368375,0.6364186,0.36875,1.04777,0.369,1.162529,0.37175
1.64032,0.37275,2.434413,0.372625,1.918793,0.373375,2.040863,0.3735,2.146085,0.3735,2.250989,0.3725,1.972516,0.37275,1.409213,0.3735,1.76239,0.374875,0.6313324,0.376125,1.043638,0.373375,1.164754,0.375
